"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-01",,,,,"0.20",",,N","0.0",",,N","0.0",",,N",,,,,,,,,"0.0",",,N","0.0",",,N",,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-02",,,,,"0.08",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-03",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-04",,,,,"0.17",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-05",,,,,"0.83",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-06",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-07",,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-08",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-09",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-10",,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-11",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-12",,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-13",,,,,"0.37",",,N","2.4",",,N",,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-14",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,
"CA1ON001012","PICKERING 4.0 SSW, ON CA","43.79766","-79.13449","98.1","2023-01-15",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
